그린뉴딜 기대감에 신재생에너지 관련주 강세,아주경제,정부의 그린 뉴딜 정책 기대감에 재생에너지 관련주가 강세다. 27일 오전 11시 45분 현재 태양광 업체인 신성이엔지는 전 거래일 대비 252 ...,https://www.ajunews.com/view/20200527115040516
"[에너지, 친환경이 미래다] 신재생에너지 보급 총력…전력그룹사 ...",환경TV,최근 제9차 전력수급기본계획 수립 자문기구인 민간 전문가 워킹그룹이 2034년 신재생에너지 비중을 현재 15.1%에서 40%로 대폭 확대하는 초안 ...,http://www.greenpostkorea.co.kr/news/articleView.html?idxno=117385
[인터뷰] 문철환 한국신재생에너지협회 상근부회장,투데이에너지,"특히 신재생에너지에 대한 인식 전환과 규제 개선을 위한 홍보와 더불어 금융지원, 전문인력 양성, 수출 산업화를 위한 해외진출 지원사업 운영 등 ...",http://www.todayenergy.kr/news/articleView.html?idxno=224823
고용노동부 취업지원 '전라북도 신재생에너지 취업관련 교육생 ...,이데일리 SPN,전북대학교 신재생에너지소재개발지원센터에서 실시되는 신재생에너지 O&M(유지보수) 기술인력 양성사업은 코로나로 위축된 취업시장에서 취업 ...,https://www.edaily.co.kr/news/read?newsId=02010646625772528&mediaCodeNo=257
"군산시, 재생에너지 연구&실증 클러스터 조성 '탄력'",뉴시스,"[군산=뉴시스]고석중 기자 = 새만금 일원에 추진 중인 '재생에너지 ... 산업지원센터(420억원, 2020~2023년) △신재생에너지 전문인력양성센터(121 ...",https://newsis.com/view/?id=NISX20200527_0001038468&cid=10800&scid=10808
“신재생발전설비 출력제어 의무화 앞서 보상 대책 확정해야”,전기신문,한전은 공청회를 열고 신재생에너지 신뢰도 고시 개정에 따른 송‧배전용전기설비이용규정 개정에 대한 업계 의견을 청취했다.,http://www.electimes.com/article.asp?aid=1590392561199075097
신재생에너지 의무공급량 비율 '상향 조정',에너지신문,산업통상자원부는 14일 이같은 내용을 포함한 '신에너지 및 재생에너지 개발・이용・보급 촉진법 시행령' 일부개정령(안)을 입법예고하고 6월 28일까지 ...,http://www.energy-news.co.kr/news/articleView.html?idxno=70445
"한전KDN, 베트남 신재생에너지사업 정책 설명회 개최 ...",헬로티,"이번 설명회는 베트남 현지의 신재생에너지 관련 정보를 공유하고, 광주․전남지역 신재생 에너지 관련 중소기업의 해외사업 협력기반을 마련됐다.",http://www.hellot.net/new_hellot/magazine/magazine_read.html?code=203&sub=004&idx=52417
"케이알피앤이, 신재생 에너지 사업 본격화…""그린뉴딜 수혜""",매일경제,"케이알피앤이는 신재생에너지 전문기업으로서 사업 포트폴리오 구성을 위해 바이오 연료와 수소연료전지, 풍력발전 등 사업 포트폴리오 다각화에 ...",https://www.mk.co.kr/news/stock/view/2020/05/511314/
2월 신재생에너지 발전량 30% 늘었다…비중 지속 확대 여부 주목,전자신문,정부는 올해 태양광·풍력 에너지를 포함해 신재생에너지 설비를 2.5GW 보급할 계획이다. 신재생 발전량이 얼마나 늘어날지 주목된다. 3일 한국전력 ...,https://m.etnews.com/20200503000040
"군산시, 동부권 신재생에너지 융복합지원 공모사업 추진",전북일보,"이 사업은 동일 장소에 2종 이상의 신재생에너지 설비를 동시에 설치, 에너지원간 융합을 통해 에너지 효율을 높이는 것으로 설치비의 최대 80% 정도 ...",https://www.jjan.kr/news/articleView.html?idxno=2083436
정재훈 한수원 사장 “신재생·원전 '에너지공존'…포스트 코로나 ...,아시아투데이,양수발전은 재생에너지의 간헐성을 보완하는 핵심 발전원이다. 26일 한수원에 따르면 정 사장은 지난 20일 경상남도 산청군 산청양수발전소를 방문 ...,http://www.asiatoday.co.kr/view.php?key=20200526010014279
"코로나19, 전 세계 에너지 수요 감소...신·재생에너지 수요 급증",케미컬뉴스,"생활법령정보에 따르면 신·재생에너지란 기존의 화석연료를 변환시켜 이용하거나 수소·산소 등의 화학 반응을 통하여 전기 또는 열을 이용하는 ""신 ...",http://www.chemicalnews.co.kr/news/articleView.html?idxno=2184
[기자의 눈] 신재생에너지 과속에 '판' 깔아준 그린 뉴딜,서울경제,탈원전·신재생에너지 확대 정책 수정은 한 마디로 '없다'는 선언으로 들렸습니다.” 최근 떠오른 그린뉴딜을 두고 한 에너지 전문가가 내린 '한 줄 평' ...,https://www.sedaily.com/NewsVIew/1Z2U6NE70F
"한수원 실적 나빠져, 정재훈 신재생에너지 비중 높이기 재원마련 ...",비즈니스포스트,하지만 한국수력원자력의 실적이 나날이 악화하고 있어 신재생에너지발전 설비를 대폭 늘리기 위한 투자재원을 확보하기는 쉽지 않을 것으로 보인다.,http://m.businesspost.co.kr/BP?command=mobile_view&num=178854
“신재생에너지보급지원사업 위반업체 강력 제재한다”,에너지데일리,한국에너지공단은 지난해 7월부터 지난 2월까지 2016∼2018년 정부 신재생에너지 보급지원사업 참여업체에 대한 전수감사를 실시했다. 이번 전수 ...,http://www.energydaily.co.kr/news/articleView.html?idxno=108387
'그린뉴딜' 신재생에너지 공동개발 참여 이종목 <국내기업> 300 ...,아시아경제,"솔라스쿨, 솔라파밍 프로젝트 및 재생에너지 확대를 위한 스마트 전력계통 구축! ※ 국내 '이'기업 풍력발전 뉴딜 추진시 시장 규모 26조 2500억!",https://www.asiae.co.kr/article/2020052609001697714
"[단독] ""깨끗하고 효율적 발전 해답은…신재생에너지와 원전의 ...",매일경제,정재훈 한국수력원자력 사장은 이 발표를 앞둔 지난 6일 매일경제와 단독으로 만나 '탈석탄 시대 원자력에너지와 신재생에너지의 공존 필요성'을 ...,https://www.mk.co.kr/news/economy/view/2020/05/473159/
신재생 에너지 혁신 기업에 6억 원 지원,KBS뉴스,부산시가 신재생 에너지 산업을 활성화하기 위해 기술 혁신 기업 5곳을 선정했습니다. 이 업체들은 지난해 선정된 업체 25곳과 함께 신규 사업 ...,http://news.kbs.co.kr/news/view.do?ncd=4453629
"군산시, 동부권 신재생에너지 융복합지원사업 국비공모 추진",뉴스로(NEWSRO),군산시(시장 강임준)가 산업통상자원부와 한국에너지공단이 주관하는 '2021년도 신재생에너지 융복합지원' 공모사업을 추진하며 눈길을 끌고 있다 ...,https://www.newsro.kr/%EA%B5%B0%EC%82%B0%EC%8B%9C-%EB%8F%99%EB%B6%80%EA%B6%8C-%EC%8B%A0%EC%9E%AC%EC%83%9D%EC%97%90%EB%84%88%EC%A7%80-%EC%9C%B5%EB%B3%B5%ED%95%A9%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85-%EA%B5%AD%EB%B9%84%EA%B3%B5%EB%AA%A8-%EC%B6%94%EC%A7%84/
"신재생 에너지 보급·미세먼지 저감…마포구, 친환경 사업비 11 ...",국민일보,"서울 마포구(구청장 유동균)는 신재생 에너지 보급, 에너지 효율화, 미세먼지 저감 등 친환경 사업을 위해 총 11억여 원의 국·시비를 확보하고 6월 ...",http://m.kmib.co.kr/view.asp?arcid=0014620861&code=61111311&sid1=op
공공부문 신재생 의무비율 40%까지 확대,칸 (보도자료) (블로그),이번 개정안은 재생에너지 3020 목표달성을 위해 공급의무화 비율을 상향하는 등 관련규정을 보완하고 신재생에너지 설비의 사후관리를 시행해야 ...,http://www.kharn.kr/mobile/article.html?no=12734
[기획탐방] 한국수력원자력 - 미래를 여는 에너지,에너지데일리 (보도자료) (블로그),"[에너지데일리 송병훈 기자] 한국수력원자력(사장 정재훈)은 원자력과 수력, 양수발전 그리고 신재생에너지를 통해 국내 전력의 약 31.5%를 생산 ...",http://www.energydaily.co.kr/news/articleView.html?idxno=108519
"군산 조선업체들, 신재생에너지 기자재 생산으로 활로 찾는다",연합뉴스,(전주=연합뉴스) 최영수 기자 = 현대중공업 군산조선소 폐쇄로 어려움을 겪는 전북 군산지역 조선업체들이 신재생에너지 기자재 생산업체로 탈바꿈 ...,https://www.yna.co.kr/view/AKR20200514122500055
“마곡열병합 주민 우려 이해… 대화창구 열리기 기대”,지앤이타임즈,서울에너지공사 김중식 사장은 집단에너지의 근간을 유지하면서도 서울을 넘어 국가 신재생에너지사업의 선도기업이 될 수 있도록 신성장목표를 ...,http://www.gnetimes.co.kr/news/articleView.html?idxno=58186
지역별 신재생 중심 에너지자립 '총력',투데이에너지,여수시는 온실가스 저감과 시민들의 경제적 부담 해소를 위해 '2021년 신재생에너지보급 융복합지원' 공모사업에 참여할 희망자 수요조사에 돌입 ...,http://www.todayenergy.kr/news/articleView.html?idxno=224656
신재생 전력분담률 최대 10%…제주는 52%,이투뉴스,"태양광, 풍력, 부생가스 등의 신재생에너지는 지난해 시간대별 전력부하의 평균 3.76%, 최대 9.46%를 감당(공급)한 것으로 나타났다. 특히 태양광· ...",http://www.e2news.com/news/articleView.html?idxno=222604
(인터뷰)전라남도 녹색에너지연구원 허용호 원장,전기신문,"전남 에너지신산업 육성 선도 블루에너지 선도, 연구개발 혁신, 지역발전 기여 해상풍력 융복합산업화 플랫폼 구축 신재생발전소 원격모니터링 체계 ...",http://m.electimes.com/article.php?aid=1590367709199028033
"IEA ""신재생에너지 신규 생산능력 20년 만에 감소할 듯""",라디오코리아 뉴스,"IEA는 신종 코로나바이러스 감염증(코로나19) 확산 여파로 인한 에너지 수요 감소와 물류 차질, 각종 봉쇄조치, 재원 조달 어려움 등으로 신재생에너지 ...",http://www.radiokorea.com/news/article.php?uid=342955
"군산시, 재생에너지 연구&실증 클러스터 조성사업 박차",전민일보,"군산시가 약 4GW의 대규모 재생에너지 사업이 예정돼 있는 새만금 일원의 ... 420억원, 신재생에너지 전문인력양성센터 '23년까지 121억원 등이다.",http://www.jeonmin.co.kr/news/articleView.html?idxno=310873
"안산시 대부도, '신재생에너지 산업특구' 지정",경기매일,천혜의 자연환경이 빚어낸 안산 대부도가 '신재생에너지 청정섬'으로 조성돼 신재생에너지 생산의 메카로 발돋움한다. 안산시(시장 윤화섭)는 ...,http://www.kgmaeil.net/news/articleView.html?idxno=240812
"동서발전-전주비전대, 신재생에너지 산업발전 '맞손'",에너지데일리 (보도자료) (블로그),"이번 협약은 국가 미래 신재생에너지 산업발전을 위해 양 기관의 역량을 높이고, 새만금 재생에너지 사업을 성공적으로 추진하기 위한 협력체계를 ...",http://www.energydaily.co.kr/news/articleView.html?idxno=108317
"한전KDN, 베트남 신재생에너지사업 정책 설명회 통해 중소기업 ...",EPJ,한전KDN은 5월 15일 나주 본사에서 주한 베트남 대사관 무역대표부 상무관을 초청해 전남지역 신재생에너지 기업을 대상으로 '베트남의 신재생 ...,http://www.epj.co.kr/news/articleView.html?idxno=24888
태성그룹 신재생에너지에 이어 농업에서도 스마트팜 새바람,뉴스플러스,신재생 에너지 전문 '㈜태성이앤씨'(부회장 위대호)는 태성그룹 계열사인 농업회사법인 ㈜나린과 함께 스마트팜과 태양광 융합 형태인 'TS나린 ...,https://biz.chosun.com/site/data/html_dir/2020/05/13/2020051301427.html
"안산 대부도, 신재생에너지 산업특구 지정",이투뉴스,이에 따라 안산시는 대부도 일대에 신재생에너지 시설을 조성하고 에너지관광산업 활성화를 추진한다. 중소벤처기업부는 지역특화발전특구위원회를 ...,http://www.e2news.com/news/articleView.html?idxno=222257
"호반건설, 신재생에너지 사업 결실...태양광 발전 수주",이코노믹리뷰,[이코노믹리뷰=권일구 기자]호반건설이 공을 들여온 신재생에너지 사업이 결실을 맺기 시작했다. 22일 호반건설에 따르면 '새만금세빛발전소 ...,http://www.econovill.com/news/articleView.html?idxno=397772
"GS건설, 세계 최초 '해수담수화 신재생에너지 기술' 상용화 공동 ...",건설이코노미뉴스,[건설이코노미뉴스] GS건설이 세계 수처리 선진시장인 싱가포르에서 세계 최초로 개발한 '해수담수화 신재생에너지 혁신기술'을 상용화하기 위한 ...,http://www.cenews.kr/news/articleView.html?idxno=23999
"신재생 공급의무비율, 2030년까지 40%로 확대",투데이에너지,[투데이에너지 송명규 기자] 신재생에너지 공급의무화 비율이 기존 2020년 이후 30%에서 2030년 40%로 상향 조정되는 등 재생에너지 3020 목표 ...,http://www.todayenergy.kr/news/articleView.html?idxno=225069
함평군 '신재생에너지 융복합 지원사업' 참여자 모집,뉴스핌,10일 함평군에 따르면 산업통상자원부와 한국에너지공단이 공동으로 주관하는 이 사업은 에너지 자립마을 조성을 위해 2종 이상의 신재생에너지원( ...,http://www.newspim.com/news/view/20200510000184
"한창산업, 정부 '그린뉴딜' 정책 수혜 기대감↑…필수인프라 ESS ...",매일경제,"정부의 그린뉴딜 정책으로 친환경 에너지주가 중장기 수혜주로 떠오르고 있다. 증시에선 먼저 풍력, 태양광을 중심으로 한 신재생발전 관련주들의 ...",https://www.mk.co.kr/news/stock/view/2020/05/535852/
신재생에너지 융복합지원사업 착수,한국아파트신문,"신재생에너지 융복합지원사업은 면·동 마을 단위로 주택과 건물에 태양광과 태양열, 지열, 소형풍력 등의 신재생에너지를 설치하는 주민참여 형태의 ...",https://www.hapt.co.kr/news/articleView.html?idxno=149194
"중기부, 신재생E 등 스타트업 육성 '총력'",투데이에너지,"이번 사업은 바이오, AI, 신재생에너지 등 미래 신산업과 연관성이 높고 대기업의 소재‧부품 등의 기술수요를 충족할 수 있는 혁신적인 스타트업을 ...",http://www.todayenergy.kr/news/articleView.html?idxno=224705
서부발전 자율비행드론시스템 활용 신재생E 안전점검,뉴스 사이트,【에너지타임즈】 한국서부발전(주)(사장 김병숙)이 지난해에 이어 지난 22일 화순풍력발전단지(전남 화순군 소재)에서 자율비행드론시스템 활용 신 ...,http://www.energytimes.kr/news/articleView.html?idxno=56506
"여수시, 2021년 '신재생에너지 자립마을 육성 공모 추진",뉴스핌,[여수=뉴스핌] 지영봉 기자 = 여수시는 온실가스 저감과 시민들의 경제적 부담 해소를 위해 '2021년 신재생에너지보급 융·복합지원' 공모사업에 ...,https://www.newspim.com/news/view/20200501000179
[기획] 수요관리 핵심 가상발전소가 뜨고 있다,에너지데일리 (보도자료) (블로그),에너지전환으로 국내 전력시장 발전설비 구성이 변화하고 있다. 태양광을 비롯한 신재생 설비와 발전량이 빠르게 증가하고 있고 ESS·전기차 등 ...,http://www.energydaily.co.kr/news/articleView.html?idxno=108526
(신재생에너지 확대 지자체가 이끈다)신재생에너지 선두주자 ...,전기신문,전남도청이 의욕적으로 추진하고 있는 신안 8.2GW 대규모 해상풍력발전사업이 신재생에너지업계는 물론 전력산업계에 이목을 모으고 있다.,http://www.electimes.com/article.asp?aid=1589423301198503002
신․재생에너지 이용과 확대는 인류의 사명,Headline jeju,"신․재생에너지에는 풍력, 태양광, 바이오중유 등 다양한 분야가 있는데 그중 제주에서 가장 많은 비중을 차지하고 있는 것이 풍력과 태양광발전 ...",http://www.headlinejeju.co.kr/news/articleView.html?idxno=416306
"신한카드, 코로나19 지원 위해 ESG채권 1000억원 발행",조선일보,"... 친환경 개선, 신재생 에너지 개발 등의 지원 자금 마련을 위해 발행되는 채권이다. 신한카드는 이번 채권 발행으로 조달된 자금을 코로나 19 지원 ...",https://biz.chosun.com/site/data/html_dir/2020/05/27/2020052700802.html
"최병암 산림청 차장, 산림바이오매스 생산현장서 의견청취",서울경제,초기에는 가정용 펠릿 공급에 초점을 맞추어 왔었으나 2012년부터 발전사에 RPS(신재생에너지 의무할당제도)가 시행되고 2018년 미이용산림 ...,https://www.sedaily.com/NewsVIew/1Z2WXM721C
안산 대부도 '신재생에너지 산업특구' 확정,한국생활체육뉴스 (보도자료),천혜의 자연환경이 빚어낸 안산 대부도가 '신재생에너지 청정섬'으로 조성돼 신재생에너지 생산의 메카로 발돋움한다. 안산시(시장 윤화섭)는 ...,http://www.kstnews.co.kr/news/articleView.html?idxno=5485
신재생에너지·4차산업혁명도 싼 전기가 핵심… 원전 없인 힘들다,조선일보,탈(脫)원전 정책은 현 정부의 신재생에너지 확대 정책에도 걸림돌이 된다는 지적이 나오고 있다. 탈원전으로 원가가 비싼 LNG(액화천연가스) 발전 ...,https://news.chosun.com/site/data/html_dir/2020/05/18/2020051800149.html
'눈먼 돈' 전락한 신재생에너지 사업…그린뉴딜도 졸속 우려,아시아경제,"[아시아경제 김보경 기자, 문채석 기자] 한국에너지공단 감사에서 위법 사실이 대거 적발되면서 신재생에너지보급 사업의 민낯이 그대로 드러났다는 ...",https://www.asiae.co.kr/article/2020051811210792180
